iter	Passed	Remaining
0	56	56745
1	57	28490
2	57	19058
3	57	14342
4	57	11512
5	58	9626
6	58	8281
7	58	7272
8	58	6486
9	59	5858
10	59	5345
11	59	4918
12	59	4554
13	60	4246
14	60	3976
15	60	3739
16	61	3531
17	61	3345
18	61	3179
19	61	3029
20	62	2892
21	62	2769
22	62	2659
23	62	2556
24	63	2460
25	63	2373
26	63	2292
27	63	2216
28	64	2145
29	64	2079
30	64	2017
31	64	1960
32	65	1905
33	65	1854
34	65	1806
35	65	1761
36	66	1718
37	66	1677
38	66	1638
39	66	1600
40	66	1566
41	67	1533
42	67	1501
43	67	1470
44	67	1441
45	68	1413
46	68	1387
47	68	1361
48	68	1336
49	69	1312
50	69	1289
51	69	1267
52	69	1246
53	70	1226
54	70	1207
55	70	1188
56	70	1169
57	70	1152
58	71	1135
59	71	1118
60	71	1102
61	71	1087
62	72	1072
63	72	1057
64	72	1043
65	72	1030
66	73	1016
67	73	1001
68	73	989
69	73	977
70	73	965
71	73	953
72	74	942
73	74	931
74	74	921
75	74	910
76	75	900
77	75	890
78	75	881
79	75	871
80	76	862
81	76	853
82	76	844
83	76	836
84	76	826
85	76	818
86	77	809
87	77	801
88	77	793
89	77	785
90	77	778
91	78	771
92	78	764
93	78	757
94	78	751
95	79	744
96	79	737
97	79	731
98	79	725
99	79	719
100	80	713
101	80	706
102	80	700
103	80	695
104	80	689
105	81	683
106	81	678
107	81	673
108	81	668
109	81	663
110	82	658
111	82	653
112	82	648
113	82	643
114	83	639
115	83	634
116	83	629
117	83	625
118	83	620
119	84	616
120	84	612
121	84	607
122	84	602
123	84	598
124	84	594
125	85	590
126	85	586
127	85	582
128	85	578
129	85	574
130	86	571
131	86	567
132	86	564
133	86	560
134	86	557
135	87	553
136	87	551
137	87	547
138	87	544
139	88	540
140	88	537
141	88	534
142	88	531
143	88	528
144	89	525
145	89	522
146	89	519
147	89	516
148	89	513
149	90	511
150	90	508
151	90	505
152	90	503
153	91	500
154	91	497
155	91	495
156	91	492
157	91	489
158	92	487
159	92	484
160	92	482
161	92	479
162	93	477
163	93	475
164	93	473
165	93	470
166	93	468
167	94	466
168	94	463
169	94	461
170	94	459
171	95	457
172	95	455
173	95	453
174	95	450
175	95	448
176	96	446
177	96	444
178	96	442
179	96	440
180	96	437
181	96	435
182	97	433
183	97	431
184	97	429
185	97	428
186	98	426
187	98	424
188	98	422
189	98	420
190	98	418
191	99	416
192	99	415
193	99	413
194	99	411
195	99	409
196	100	408
197	100	406
198	100	404
199	100	402
200	100	401
201	101	399
202	101	398
203	101	396
204	101	394
205	102	393
206	102	391
207	102	390
208	102	388
209	102	386
210	103	385
211	103	384
212	103	382
213	103	381
214	104	379
215	104	378
216	104	376
217	104	375
218	104	374
219	105	372
220	105	371
221	105	369
222	105	368
223	105	367
224	106	365
225	106	364
226	106	363
227	106	361
228	107	360
229	107	359
230	107	357
231	107	356
232	107	355
233	108	354
234	108	352
235	108	351
236	108	350
237	108	348
238	109	347
239	109	346
240	109	345
241	109	344
242	110	343
243	110	341
244	110	340
245	110	339
246	110	338
247	111	337
248	111	335
249	111	334
250	111	333
251	112	332
252	112	331
253	112	330
254	112	329
255	112	328
256	113	327
257	113	326
258	113	324
259	113	323
260	113	322
261	114	321
262	114	320
263	114	319
264	114	318
265	115	317
266	115	316
267	115	315
268	115	314
269	115	313
270	116	312
271	116	311
272	116	310
273	116	309
274	116	308
275	117	307
276	117	306
277	117	305
278	117	304
279	118	303
280	118	302
281	118	301
282	118	300
283	118	299
284	119	298
285	119	297
286	119	296
287	119	295
288	119	295
289	120	294
290	120	293
291	120	292
292	120	291
293	121	290
294	121	289
295	121	288
296	121	288
297	121	287
298	122	286
299	122	285
300	122	284
301	122	283
302	122	282
303	123	281
304	123	281
305	123	280
306	123	279
307	124	278
308	124	277
309	124	277
310	124	276
311	124	275
312	125	274
313	125	273
314	125	272
315	125	272
316	125	271
317	126	270
318	126	269
319	126	268
320	126	268
321	127	267
322	127	266
323	127	266
324	127	265
325	127	264
326	128	263
327	128	262
328	128	262
329	128	261
330	129	260
331	129	259
332	129	259
333	129	258
334	129	257
335	130	257
336	130	256
337	130	255
338	130	254
339	130	254
340	131	253
341	131	252
342	131	251
343	131	251
344	131	250
345	132	249
346	132	249
347	132	248
348	132	247
349	132	246
350	133	246
351	133	245
352	133	244
353	133	244
354	134	243
355	134	242
356	134	242
357	134	241
358	134	240
359	135	240
360	135	239
361	135	238
362	135	238
363	135	237
364	136	236
365	137	237
366	137	236
367	137	236
368	137	235
369	137	234
370	138	234
371	138	233
372	138	233
373	138	232
374	139	231
375	139	231
376	139	230
377	139	230
378	140	229
379	140	228
380	140	228
381	140	227
382	140	226
383	141	226
384	141	225
385	141	224
386	141	224
387	141	223
388	142	223
389	142	222
390	142	221
391	142	221
392	142	220
393	143	220
394	143	219
395	143	218
396	143	218
397	143	217
398	144	217
399	144	216
400	144	216
401	144	215
402	145	214
403	145	214
404	145	213
405	145	213
406	145	212
407	146	212
408	146	211
409	146	210
410	146	210
411	147	209
412	147	209
413	147	208
414	147	208
415	147	207
416	148	207
417	148	206
418	148	206
419	148	205
420	148	204
421	149	204
422	149	203
423	149	203
424	149	202
425	150	202
426	150	201
427	150	201
428	150	200
429	150	200
430	151	199
431	151	199
432	151	198
433	151	198
434	152	197
435	152	197
436	152	196
437	152	195
438	152	195
439	153	194
440	153	194
441	153	193
442	153	193
443	153	192
444	154	192
445	154	191
446	154	191
447	154	190
448	155	190
449	155	189
450	155	189
451	155	188
452	155	188
453	156	187
454	156	187
455	156	186
456	156	186
457	157	185
458	157	185
459	157	184
460	157	184
461	157	183
462	158	183
463	158	182
464	158	182
465	158	182
466	159	181
467	159	181
468	159	180
469	159	180
470	159	179
471	160	179
472	160	178
473	160	178
474	160	177
475	160	177
476	161	176
477	161	176
478	161	175
479	161	175
480	162	174
481	162	174
482	162	173
483	162	173
484	162	173
485	163	172
486	163	172
487	163	171
488	163	171
489	164	170
490	164	170
491	164	169
492	164	169
493	164	168
494	165	168
495	165	168
496	165	167
497	165	167
498	166	166
499	166	166
500	166	165
501	166	165
502	166	164
503	167	164
504	167	164
505	167	163
506	168	163
507	168	163
508	169	163
509	169	162
510	170	162
511	170	162
512	171	162
513	171	162
514	171	161
515	172	161
516	172	161
517	172	160
518	173	160
519	173	160
520	173	159
521	173	159
522	174	158
523	174	158
524	174	157
525	174	157
526	175	157
527	175	156
528	175	156
529	175	155
530	175	155
531	176	154
532	176	154
533	176	154
534	176	153
535	176	153
536	177	152
537	177	152
538	177	151
539	177	151
540	178	151
541	178	150
542	178	150
543	178	149
544	179	149
545	179	149
546	179	148
547	179	148
548	179	147
549	180	147
550	180	146
551	180	146
552	180	146
553	181	146
554	181	145
555	181	145
556	182	144
557	182	144
558	182	144
559	182	143
560	183	143
561	183	142
562	183	142
563	183	142
564	183	141
565	184	141
566	184	140
567	184	140
568	184	139
569	184	139
570	185	139
571	185	138
572	185	138
573	185	137
574	185	137
575	186	137
576	186	136
577	186	136
578	186	135
579	187	135
580	187	135
581	187	134
582	187	134
583	187	133
584	187	133
585	188	132
586	188	132
587	188	132
588	188	131
589	189	131
590	189	130
591	189	130
592	189	130
593	189	129
