iter	Passed	Remaining
0	1	1780
1	2	1036
2	2	778
3	2	641
4	2	564
5	3	513
6	3	472
7	3	440
8	3	413
9	4	401
10	4	388
11	5	437
12	5	422
13	5	409
14	6	396
15	6	384
16	6	372
17	6	362
18	6	353
19	7	346
20	7	339
21	7	333
22	7	329
23	7	323
24	8	318
25	8	314
26	8	309
27	8	305
28	8	301
29	9	298
30	9	295
31	9	291
32	9	288
33	10	285
34	10	284
35	10	283
36	10	281
37	11	279
38	11	277
39	11	275
40	11	274
41	11	272
42	12	270
43	12	269
44	12	267
45	12	266
46	13	265
47	13	263
48	13	261
49	13	260
50	13	258
51	14	256
52	14	255
53	14	256
54	14	255
55	15	253
56	15	252
57	15	251
58	15	249
59	15	248
60	16	247
61	16	245
62	16	244
63	16	244
64	16	242
65	17	241
66	17	240
67	17	239
68	17	239
69	17	237
70	18	236
71	18	235
72	18	234
73	18	234
74	18	233
75	19	232
76	19	231
77	19	230
78	19	230
79	19	229
80	20	229
81	20	228
82	20	226
83	20	225
84	20	224
85	21	224
86	21	223
87	21	222
88	21	222
89	21	221
90	22	221
91	22	220
92	22	220
93	22	219
94	22	218
95	23	218
96	23	218
97	23	217
98	23	217
99	24	216
100	24	216
101	24	216
102	24	215
103	24	215
104	25	214
105	25	214
106	25	213
107	25	213
108	26	212
109	26	212
110	26	211
111	26	211
112	26	211
113	27	210
114	27	210
115	27	210
116	27	209
117	27	209
118	28	208
119	28	208
120	28	207
121	28	207
122	28	206
123	29	206
124	29	206
125	29	205
126	29	205
127	30	204
128	30	204
129	30	204
130	30	203
131	30	203
132	31	203
133	31	202
134	31	202
135	31	201
136	31	201
137	32	200
138	32	200
139	32	200
140	32	199
141	32	198
142	33	198
143	33	198
144	33	197
145	33	197
146	33	196
147	34	196
148	34	196
149	34	195
150	34	195
151	34	195
152	35	194
153	35	194
154	35	194
155	35	193
156	36	193
157	36	192
158	36	192
159	36	192
160	36	191
161	36	191
162	37	190
163	37	190
164	37	190
165	37	190
166	38	189
167	38	189
168	38	189
169	38	188
170	38	188
171	39	188
172	39	188
173	39	188
174	39	187
175	40	187
176	40	187
177	40	186
178	40	186
179	40	186
180	41	185
181	41	185
182	41	185
183	41	185
184	41	184
185	42	184
186	42	184
187	42	183
188	42	183
189	43	183
190	43	182
191	43	182
192	43	182
193	43	182
194	44	181
195	44	181
196	44	181
197	44	180
198	44	180
199	45	180
200	45	179
201	45	179
202	45	179
203	45	179
204	46	178
205	46	178
206	46	178
207	46	178
208	47	178
209	47	177
210	47	177
211	47	177
212	47	177
213	48	177
214	48	176
215	48	176
216	48	176
217	49	175
218	49	175
219	49	175
220	49	175
221	49	174
222	50	174
223	50	174
224	50	174
225	50	173
226	50	173
227	51	173
228	51	173
229	51	172
230	51	172
231	52	172
232	52	172
233	52	171
234	52	171
235	52	171
236	53	170
237	53	170
238	53	170
239	53	170
240	54	170
241	54	169
242	54	169
243	54	169
244	54	169
245	55	168
246	55	168
247	55	168
248	55	168
249	55	167
250	56	167
251	56	167
252	56	167
253	56	166
254	57	166
255	57	166
256	57	166
257	57	165
258	57	165
259	58	165
260	58	165
261	58	164
262	58	164
263	58	164
264	59	164
265	59	163
266	59	163
267	59	163
268	60	163
269	60	162
270	60	162
271	60	162
272	60	162
273	61	161
274	61	161
275	61	161
276	61	161
277	61	160
278	62	160
279	62	160
280	62	160
281	62	159
282	63	159
283	63	159
284	63	159
285	63	158
286	63	158
287	64	158
288	64	158
289	64	158
290	64	157
291	64	157
292	65	157
293	65	157
294	65	156
295	65	156
296	66	156
297	66	156
298	66	155
299	66	155
300	66	155
301	67	155
302	67	154
303	67	154
304	67	154
305	68	154
306	68	154
307	68	153
308	68	153
309	68	153
310	69	153
311	69	152
312	69	152
313	69	152
314	69	152
315	70	151
316	70	151
317	70	151
318	70	151
319	71	150
320	71	150
321	71	150
322	71	150
323	71	149
324	72	149
325	72	149
326	72	149
327	72	148
328	72	148
329	73	148
330	73	148
331	73	147
332	73	147
333	73	147
334	74	147
335	74	146
336	74	146
337	74	146
338	74	146
339	75	146
340	75	145
341	75	145
342	75	145
343	76	145
344	76	145
345	76	144
346	76	144
347	77	144
348	77	144
349	77	144
350	77	143
351	78	143
352	78	143
353	78	143
354	78	142
355	78	142
356	79	142
357	79	142
358	79	142
359	79	141
360	79	141
361	80	141
362	80	141
363	80	140
364	80	140
365	81	140
366	81	140
367	81	140
368	81	139
369	81	139
370	82	139
371	82	139
372	82	138
373	82	138
374	83	138
375	83	138
376	83	137
377	83	137
378	83	137
379	84	137
380	84	137
381	84	136
382	84	136
383	85	136
384	85	136
385	85	136
386	85	135
387	85	135
388	86	135
389	86	135
390	86	134
391	86	134
392	87	134
393	87	134
394	87	133
395	87	133
396	87	133
397	88	133
398	88	133
399	88	132
400	88	132
401	88	132
402	89	132
403	89	131
404	89	131
405	89	131
406	90	131
407	90	130
408	90	130
409	90	130
410	90	130
411	91	130
412	91	129
413	91	129
414	91	129
415	91	129
416	92	128
417	92	128
418	92	128
419	92	128
420	93	127
421	93	127
422	93	127
423	93	127
424	93	127
425	94	126
426	94	126
427	94	126
428	94	126
429	95	125
430	95	125
431	95	125
432	95	125
433	95	124
434	96	124
435	96	124
436	96	124
437	96	124
438	96	123
439	97	123
440	97	123
441	97	123
442	97	122
443	98	122
444	98	122
445	98	122
446	98	122
447	98	121
448	99	121
449	99	121
450	99	121
451	99	121
452	100	120
453	100	120
454	100	120
455	100	120
456	100	119
457	101	119
458	101	119
459	101	119
460	101	119
461	102	118
462	102	118
463	102	118
464	102	118
465	102	117
466	103	117
467	103	117
468	103	117
469	103	117
470	104	116
471	104	116
472	104	116
473	104	116
474	104	115
475	105	115
476	105	115
477	105	115
478	105	115
479	106	114
480	106	114
481	106	114
482	106	114
483	106	113
484	107	113
485	107	113
486	107	113
487	107	113
488	107	112
489	108	112
490	108	112
491	108	112
492	108	111
493	108	111
494	109	111
495	109	111
496	109	110
497	109	110
498	110	110
499	110	110
500	110	110
501	110	109
502	111	109
503	111	109
504	111	109
505	111	109
506	111	108
507	112	108
508	112	108
509	112	108
510	112	107
511	112	107
512	113	107
513	113	107
514	113	107
515	113	106
516	114	106
517	114	106
518	114	106
519	114	105
520	114	105
521	115	105
522	115	105
523	115	104
524	115	104
525	115	104
526	116	104
527	116	104
528	116	103
529	116	103
530	117	103
531	117	103
532	117	102
533	117	102
534	117	102
535	118	102
536	118	101
537	118	101
538	118	101
539	118	101
540	119	101
541	119	100
542	119	100
543	119	100
544	120	100
545	120	99
546	120	99
547	120	99
548	120	99
549	121	99
550	121	98
551	121	98
552	121	98
553	122	98
554	122	98
555	122	97
556	122	97
557	123	97
558	123	97
559	123	97
560	123	96
561	123	96
562	124	96
563	124	96
564	124	95
565	124	95
566	124	95
567	125	95
568	125	95
569	125	94
570	125	94
571	126	94
572	126	94
573	126	93
574	126	93
575	127	93
576	127	93
577	127	93
578	127	92
579	127	92
580	128	92
581	128	92
582	128	91
583	128	91
584	129	91
585	129	91
586	129	91
587	129	90
588	129	90
589	130	90
590	130	90
591	130	89
592	130	89
593	130	89
594	131	89
595	131	89
596	131	88
597	131	88
598	132	88
599	132	88
600	132	87
601	132	87
602	132	87
603	133	87
604	133	87
